,Car Brand,Car Model,Year,Engine Size (L),Horsepower (hp),Torque (lb-ft),0-60 mph Time (s)
98,Alpine,Huracan Evo,2016,3.05,869,573,4.3
99,Rimac,Mustang Shelby GT500,2018,7.16,726,661,3.67
100,Chevrolet,GT-R Nismo,2022,6.59,1445,815,2.6
101,Shelby,Vantage,2016,4.99,920,496,3.02
102,Ford,F-Type SVR,2020,7.85,501,1061,3.28
103,TVR,F-Type SVR,2021,3.14,978,924,2.99
104,Audi,GT-R Nismo,2016,6.02,893,673,4.38
105,Lamborghini,488 GTB,2021,4.02,820,1178,4.49
106,Ariel,M4,2017,3.84,1348,1086,3.46
107,Audi,Mustang Shelby GT500,2019,7.24,463,1187,3.95
108,Audi,720S,2018,7.5,548,559,3.33
109,Pininfarina,Mustang Shelby GT500,2019,5.46,708,733,3.49
110,Pininfarina,Challenger SRT Hellcat,2023,3.66,849,1025,3.29
111,Maserati,Mustang Shelby GT500,2022,6.71,1158,373,3.62
112,BMW,488 GTB,2022,4.92,361,974,3.32
113,Maserati,911 Turbo S,2019,6.62,736,431,3.92
114,Lotus,NSX,2018,3.56,1261,403,2.99
115,Lotus,Supra,2022,5.67,780,589,2.41
116,Mazda,Mustang Shelby GT500,2017,3.21,612,777,3.37
117,Toyota,F-Type SVR,2018,5.35,1246,391,2.67
118,TVR,720S,2021,7.81,463,1088,2.05
119,Tesla,Vantage,2021,4.57,1389,585,2.81
120,BMW,Huracan Evo,2021,6.93,691,1079,4.16
121,Chevrolet,Huracan Evo,2021,6.53,710,400,2.39
122,Alpine,488 GTB,2016,6.52,830,822,3.72
123,Polestar,911 Turbo S,2023,4.39,1363,769,3.78
124,Bugatti,488 GTB,2023,5.68,1194,516,3.12
125,Aston Martin,GT-R Nismo,2022,4.72,486,374,2.99
126,Bentley,Huracan Evo,2023,5.49,336,812,3.3
127,Nissan,GT-R Nismo,2020,6.67,1401,336,3.89
128,Audi,911 Turbo S,2022,3.67,1291,936,3.2
129,Subaru,F-Type SVR,2021,6.11,617,382,3.45
130,Rolls-Royce,R8 V10 Plus,2021,3.77,838,1011,3.02
131,Jaguar,R8 V10 Plus,2022,7.21,1384,1079,4.2
132,Tesla,Vantage,2017,7.25,1445,707,3.76
133,Mercedes-Benz,GT-R Nismo,2022,5.53,1411,1015,2.31
134,Lexus,GT R,2017,3.86,1480,746,2.07
135,Pininfarina,911 Turbo S,2020,4.82,737,388,2.02
136,Jaguar,Challenger SRT Hellcat,2017,6.81,1285,347,4.29
137,W Motors,720S,2018,3.02,386,974,3.63
138,Bugatti,F-Type SVR,2021,7.66,1465,438,3.28
139,BMW,M4,2019,3.06,937,550,4.35
140,Mazda,Mustang Shelby GT500,2018,7.41,1010,497,3.81
141,Alpine,Supra,2017,3.75,1039,1091,2.56
142,Mercedes-AMG,Vantage,2023,3.4,1194,1010,2.44
143,Koenigsegg,488 GTB,2016,7.24,381,863,4.0
144,McLaren,911 Turbo S,2023,6.17,1193,720,2.77
145,McLaren,Corvette Z06,2018,6.18,793,764,4.1
146,Alfa Romeo,Supra,2022,3.13,716,974,4.38
147,Pagani,Vantage,2023,4.93,529,963,3.84
148,Lotus,Supra,2016,4.64,1390,1106,3.94
149,W Motors,GT-R Nismo,2023,6.6,584,623,3.75
150,Lexus,911 Turbo S,2019,6.28,478,587,2.07
151,W Motors,720S,2021,5.27,1165,1053,2.35
152,Bentley,Supra,2022,7.19,472,1147,2.53
153,Ariel,Vantage,2021,5.16,968,623,2.77
154,Porsche,Mustang Shelby GT500,2017,4.54,380,918,3.48
155,Rolls-Royce,Mustang Shelby GT500,2021,7.98,1119,815,3.32
156,Jaguar,488 GTB,2020,3.82,1392,391,4.15
157,Ariel,GT-R Nismo,2018,4.63,304,853,2.99
158,Ultima,Supra,2016,5.59,1119,560,4.11
159,Aston Martin,Corvette Z06,2017,5.23,722,520,2.6
160,Polestar,Supra,2019,6.4,348,1054,2.85
161,Bentley,GT-R Nismo,2017,5.29,939,766,4.03
162,Rimac,Vantage,2022,4.08,568,581,4.23
163,Ford,Huracan Evo,2023,7.63,1459,987,3.41
164,Shelby,Vantage,2019,6.32,1038,1065,2.37
165,Pagani,GT R,2021,4.1,1139,1038,2.84
166,Lamborghini,M4,2020,3.68,1131,850,3.51
167,Koenigsegg,488 GTB,2023,4.03,1000,378,3.7
168,Bugatti,Mustang Shelby GT500,2023,5.14,796,319,4.29
169,Pagani,488 GTB,2022,3.88,502,653,4.14
170,Kia,720S,2019,5.82,616,848,2.59
171,Tesla,Mustang Shelby GT500,2021,6.41,325,502,3.34
172,Lexus,NSX,2016,4.22,595,657,2.17
173,Koenigsegg,Vantage,2019,6.21,1194,602,4.07
174,Ford,Supra,2021,5.77,528,1054,4.17
175,BMW,M4,2018,3.31,703,1086,3.72
176,Porsche,720S,2018,5.81,1073,650,2.38
177,Pininfarina,GT-R Nismo,2021,3.94,759,791,2.8
178,Lotus,Vantage,2016,5.58,1259,535,2.02
179,Bentley,GT R,2020,4.31,1247,906,4.03
180,Shelby,F-Type SVR,2020,3.06,505,455,3.69
181,Lotus,Corvette Z06,2022,3.28,526,948,3.68
182,Ferrari,Vantage,2022,3.85,690,389,4.29
183,Jaguar,Mustang Shelby GT500,2018,7.32,1392,611,2.56
184,Lexus,911 Turbo S,2021,5.83,666,735,3.11
185,Ultima,Mustang Shelby GT500,2018,6.13,584,479,3.09
186,Ford,Mustang Shelby GT500,2018,7.39,320,1095,2.06
187,Ferrari,720S,2019,5.1,686,847,3.24
188,Audi,488 GTB,2021,7.93,1282,767,3.49
189,Ferrari,911 Turbo S,2023,5.89,860,541,3.34
190,Chevrolet,Mustang Shelby GT500,2022,6.0,981,363,2.69
191,Nissan,R8 V10 Plus,2018,4.05,602,540,4.04
192,Bugatti,720S,2022,4.38,910,554,4.28
193,Koenigsegg,F-Type SVR,2017,7.01,522,1028,3.53
194,McLaren,F-Type SVR,2017,6.92,447,463,2.22
195,Ferrari,Huracan Evo,2018,5.21,603,941,4.36
196,Polestar,F-Type SVR,2018,4.09,1086,1115,3.97
197,Shelby,Challenger SRT Hellcat,2016,5.37,1007,480,3.26
198,Rimac,Supra,2019,7.4,1095,809,4.03
199,Ultima,F-Type SVR,2020,7.07,828,1152,2.31
200,Mercedes-AMG,Supra,2017,3.61,664,1164,3.62
201,Tesla,Mustang Shelby GT500,2019,4.86,706,697,2.9
202,W Motors,488 GTB,2021,5.53,898,831,2.59
203,Ariel,GT R,2023,7.5,938,1179,3.36
204,Polestar,GT R,2016,3.78,488,460,3.92
205,Lotus,Supra,2023,4.3,1147,456,2.78
206,Chevrolet,GT-R Nismo,2016,7.9,1319,1119,2.22
207,Nissan,911 Turbo S,2019,6.39,1327,529,3.49
208,Koenigsegg,488 GTB,2023,3.35,1088,423,3.23
209,Kia,Mustang Shelby GT500,2020,5.75,763,726,4.39
210,Lotus,NSX,2017,7.3,622,315,3.39
211,Bentley,911 Turbo S,2022,7.35,1232,917,4.29
212,Pagani,720S,2019,4.26,850,1087,3.89
213,Alfa Romeo,Huracan Evo,2022,6.98,1171,1039,3.56
214,Ford,NSX,2022,3.51,908,629,2.96
215,Mercedes-AMG,720S,2019,6.16,373,599,4.25
216,Lexus,Challenger SRT Hellcat,2018,7.82,1322,519,2.32
217,Mazda,911 Turbo S,2022,6.77,1065,1076,3.01
218,Nissan,Huracan Evo,2023,5.37,871,700,3.61
219,W Motors,911 Turbo S,2020,6.28,1237,1183,2.75
220,Chevrolet,M4,2017,6.78,341,544,3.79
221,Bentley,911 Turbo S,2021,6.62,963,678,2.65
222,Bugatti,F-Type SVR,2016,3.91,473,668,2.25
223,Kia,F-Type SVR,2021,4.96,1371,901,2.32
224,Rimac,GT R,2019,4.75,721,982,4.31
225,Porsche,Challenger SRT Hellcat,2021,3.15,456,421,2.68
226,Subaru,488 GTB,2018,5.78,1366,677,2.4
227,Nissan,Challenger SRT Hellcat,2016,7.51,358,910,4.24
228,Lexus,911 Turbo S,2022,5.9,1299,770,4.38
229,Lotus,Huracan Evo,2016,7.44,649,1132,3.81
230,Ultima,Supra,2018,5.18,770,1198,2.78
231,Tesla,R8 V10 Plus,2019,5.01,415,1013,3.81
232,Nissan,720S,2019,7.22,416,363,2.71
233,BMW,GT R,2023,7.94,569,749,3.78
234,Lamborghini,NSX,2017,5.61,837,706,3.68
235,Toyota,Huracan Evo,2020,5.17,307,1008,4.25
236,Nissan,M4,2023,6.92,640,1016,4.42
237,Shelby,NSX,2017,6.38,1367,609,3.94
238,Shelby,Vantage,2021,4.07,1027,721,3.19
239,Mercedes-AMG,M4,2021,4.68,686,885,2.94
240,Porsche,Vantage,2021,4.05,472,708,3.86
241,Kia,M4,2017,5.6,742,1012,3.07
242,Toyota,Huracan Evo,2020,3.44,883,839,3.34
243,W Motors,NSX,2023,5.22,1429,389,2.35
244,Rolls-Royce,M4,2019,4.47,1220,799,3.5
245,Shelby,Corvette Z06,2020,3.36,940,691,4.22
246,Lexus,488 GTB,2023,5.21,455,990,4.0
247,Pagani,Corvette Z06,2021,6.42,1120,431,2.6
248,Pininfarina,911 Turbo S,2023,3.25,400,787,2.21
249,Tesla,720S,2019,6.94,1052,322,2.29
250,Chevrolet,GT-R Nismo,2020,7.09,1028,912,4.29
251,Alpine,Mustang Shelby GT500,2018,5.03,1186,440,3.1
252,Porsche,Huracan Evo,2020,6.72,1198,551,2.66
253,Alfa Romeo,F-Type SVR,2020,6.14,1121,607,2.74
254,Bentley,R8 V10 Plus,2018,3.32,1118,421,3.6
255,Bentley,Huracan Evo,2016,5.69,1475,569,3.13
256,Lexus,911 Turbo S,2016,5.43,832,659,2.05
257,Acura,Supra,2018,3.27,1136,386,2.87
258,Rimac,NSX,2020,3.19,676,911,3.99
259,Subaru,Mustang Shelby GT500,2016,7.25,844,330,3.51
260,Lotus,Mustang Shelby GT500,2017,3.38,898,365,4.43
261,Koenigsegg,R8 V10 Plus,2019,3.2,657,738,3.81
262,Acura,Vantage,2022,7.83,1037,603,4.42
263,Tesla,Supra,2018,6.39,505,1048,2.34
264,Ultima,Challenger SRT Hellcat,2022,3.95,905,566,4.26
265,Bugatti,F-Type SVR,2018,6.54,619,735,4.13
266,TVR,F-Type SVR,2019,3.01,374,945,4.36
267,W Motors,GT-R Nismo,2021,5.92,1336,595,2.9
268,Tesla,GT-R Nismo,2023,4.79,1215,670,2.49
269,Dodge,GT-R Nismo,2018,7.2,1416,1007,4.28
270,Porsche,Challenger SRT Hellcat,2019,6.0,862,1007,3.09
271,Shelby,Vantage,2022,7.56,1492,927,3.88
272,Maserati,GT R,2021,7.54,330,768,2.27
273,W Motors,Corvette Z06,2016,7.74,1240,732,2.47
274,Mazda,M4,2022,4.55,1442,899,2.69
275,Porsche,911 Turbo S,2017,6.33,1183,392,3.7
276,Maserati,M4,2020,3.87,890,724,4.38
277,McLaren,Huracan Evo,2018,6.26,547,465,2.24
278,Kia,GT-R Nismo,2022,4.55,1299,300,2.31
279,Tesla,Challenger SRT Hellcat,2020,6.26,593,669,4.09
280,Lamborghini,M4,2017,3.71,1153,1152,2.84
281,TVR,Challenger SRT Hellcat,2023,6.76,468,715,3.67
282,Ford,F-Type SVR,2020,3.18,341,891,2.79
283,Ariel,M4,2016,4.07,300,1144,2.4
284,Dodge,M4,2020,5.02,1054,900,3.03
285,Mercedes-Benz,NSX,2017,7.11,853,575,3.33
286,W Motors,R8 V10 Plus,2018,5.85,507,488,3.93
287,Dodge,Huracan Evo,2022,7.33,1112,868,2.06
288,Polestar,M4,2017,4.83,496,708,3.72
289,Jaguar,488 GTB,2022,7.69,1250,692,4.01
290,Koenigsegg,M4,2016,7.58,799,534,2.06
291,Mercedes-Benz,M4,2016,7.79,1163,1007,4.29
292,BMW,F-Type SVR,2020,7.5,791,1198,2.93
293,TVR,Mustang Shelby GT500,2017,3.07,1375,352,4.28
294,Maserati,Mustang Shelby GT500,2020,6.02,634,323,3.25
295,Toyota,F-Type SVR,2021,7.18,346,958,2.62
296,Lexus,Challenger SRT Hellcat,2018,7.97,1240,805,2.28
297,Acura,720S,2021,3.28,562,652,3.18
298,Lexus,M4,2023,4.66,369,552,2.35
299,Lotus,911 Turbo S,2018,3.56,405,884,2.85
300,Ultima,R8 V10 Plus,2022,7.57,952,626,2.64
301,Mazda,488 GTB,2019,7.64,1280,310,3.51
302,Ford,GT R,2020,5.6,779,550,3.82
303,Dodge,488 GTB,2023,5.27,881,918,4.02
304,Pininfarina,Mustang Shelby GT500,2022,5.29,397,1062,2.53
305,Alpine,GT R,2023,6.72,1376,466,2.5
306,Tesla,720S,2019,3.93,1198,706,3.16
307,Maserati,GT-R Nismo,2020,3.69,1210,725,2.7
308,Pininfarina,GT R,2020,3.61,700,556,4.4
309,Tesla,488 GTB,2018,5.57,1028,666,4.34
310,Aston Martin,Vantage,2022,7.82,543,1117,4.46
311,Subaru,Vantage,2023,3.14,470,353,3.38
312,TVR,Huracan Evo,2017,7.43,846,444,3.88
313,Mercedes-AMG,Corvette Z06,2022,6.34,1160,441,2.38
314,Ariel,Corvette Z06,2021,7.37,1196,799,2.32
315,Ferrari,F-Type SVR,2020,6.31,608,872,2.41
316,Ford,488 GTB,2023,7.91,1198,468,2.7
317,W Motors,Mustang Shelby GT500,2022,4.79,1058,491,2.2
318,Rimac,GT-R Nismo,2020,7.5,705,520,2.56
319,Porsche,488 GTB,2023,5.55,315,747,2.15
320,McLaren,R8 V10 Plus,2017,5.21,427,992,2.08
321,Koenigsegg,NSX,2019,5.28,1029,984,3.61
322,Rolls-Royce,Vantage,2023,7.59,1149,745,4.02
323,Mazda,911 Turbo S,2022,6.86,434,783,2.82
324,Ariel,Huracan Evo,2016,7.49,629,1114,2.05
325,Audi,GT-R Nismo,2021,7.6,1383,657,4.34
326,Dodge,911 Turbo S,2023,3.19,907,527,2.81
327,Mazda,911 Turbo S,2022,5.67,825,727,4.09
328,Shelby,Corvette Z06,2021,7.55,661,824,3.86
329,Ultima,911 Turbo S,2016,6.32,1259,713,2.72
330,Kia,Huracan Evo,2020,6.03,894,432,2.85
331,Pininfarina,NSX,2016,3.97,331,536,3.54
332,Aston Martin,Challenger SRT Hellcat,2017,7.91,831,785,4.13
333,Lamborghini,720S,2017,4.97,1178,1125,4.17
334,Rimac,NSX,2023,3.45,952,921,2.39
335,McLaren,Corvette Z06,2018,6.16,1490,1081,2.09
336,Ultima,720S,2017,7.14,343,829,3.79
337,W Motors,R8 V10 Plus,2023,4.77,1070,1000,2.76
338,Subaru,Mustang Shelby GT500,2016,6.18,345,1081,2.15
339,Lexus,Vantage,2022,3.0,606,1068,2.58
340,Ultima,Mustang Shelby GT500,2021,5.06,344,316,2.98
341,Alfa Romeo,NSX,2022,5.89,1186,671,4.3
342,Rolls-Royce,GT R,2020,7.94,1022,511,2.35
343,Dodge,M4,2022,5.62,1257,1139,3.67
344,Koenigsegg,Mustang Shelby GT500,2022,7.73,871,1054,4.23
345,Audi,GT R,2016,6.13,666,1147,3.53
346,Aston Martin,F-Type SVR,2018,7.74,704,1040,4.41
347,Koenigsegg,Corvette Z06,2016,3.66,1195,1097,2.33
348,Chevrolet,Huracan Evo,2018,7.65,587,353,3.99
349,Chevrolet,Challenger SRT Hellcat,2020,6.03,417,868,3.64
350,Ultima,Supra,2021,3.06,1492,431,3.04
351,Bentley,Mustang Shelby GT500,2020,5.13,442,517,3.95
352,Jaguar,720S,2018,6.78,793,327,2.08
353,Pagani,GT R,2018,4.83,1267,533,3.55
354,Rimac,F-Type SVR,2016,7.05,1051,610,3.17
355,Tesla,911 Turbo S,2021,7.82,1217,480,2.24
356,Lotus,Corvette Z06,2017,4.88,407,402,4.32
357,Audi,GT R,2019,5.31,1242,1053,2.83
358,BMW,Corvette Z06,2021,4.92,721,944,2.65
359,TVR,F-Type SVR,2023,3.68,894,727,3.25
360,Ariel,GT R,2017,4.3,1116,1108,3.45
361,Mercedes-Benz,Huracan Evo,2018,4.55,1268,782,2.81
362,Nissan,R8 V10 Plus,2018,5.96,1012,1079,2.08
363,Pagani,GT-R Nismo,2021,4.9,636,1083,2.77
364,Ferrari,GT-R Nismo,2019,5.45,461,411,2.5
365,Pininfarina,F-Type SVR,2023,3.72,300,1173,3.35
366,Pagani,720S,2020,5.1,318,1124,2.67
367,Lamborghini,Challenger SRT Hellcat,2018,4.92,1443,1042,3.12
368,Polestar,720S,2023,5.17,567,340,2.44
369,Maserati,NSX,2018,4.59,559,714,3.64
370,Shelby,F-Type SVR,2023,7.8,398,544,3.55
371,Pininfarina,488 GTB,2017,5.11,1415,828,2.13
372,Chevrolet,Huracan Evo,2016,7.87,812,328,2.13
373,Nissan,F-Type SVR,2023,6.45,1290,799,3.53
374,Toyota,Challenger SRT Hellcat,2018,7.92,681,668,2.54
375,Kia,M4,2020,3.15,1151,865,2.88
376,McLaren,Mustang Shelby GT500,2022,3.27,537,367,3.16
377,Dodge,488 GTB,2021,6.05,1472,1193,3.39
378,Mercedes-AMG,Mustang Shelby GT500,2019,3.57,656,624,3.35
379,Nissan,GT R,2023,6.98,780,658,4.07
380,Lexus,488 GTB,2018,3.64,324,307,4.25
381,BMW,720S,2018,6.14,485,1080,2.84
382,Ariel,720S,2019,7.81,1272,551,2.78
383,Pagani,GT R,2022,6.31,357,659,2.46
384,Bentley,GT R,2016,3.7,1242,884,3.8
385,Kia,720S,2018,7.36,869,550,3.37
386,Chevrolet,Challenger SRT Hellcat,2018,4.38,916,812,2.49
387,Mazda,488 GTB,2022,5.25,674,1130,2.59
388,BMW,Mustang Shelby GT500,2018,7.89,967,428,4.11
389,Aston Martin,Challenger SRT Hellcat,2020,4.03,894,719,3.75
390,McLaren,Challenger SRT Hellcat,2021,3.76,851,455,3.87
391,Rimac,GT R,2021,6.11,1170,855,2.69
392,Aston Martin,Supra,2023,5.46,1124,1037,3.79
393,McLaren,720S,2017,3.72,1353,968,3.57
394,Ferrari,GT-R Nismo,2016,3.17,425,715,4.07
395,Pininfarina,M4,2017,3.96,972,1108,3.39
396,Ultima,NSX,2021,6.05,1374,743,2.22
397,Bugatti,911 Turbo S,2017,6.56,316,495,2.76
398,Maserati,Challenger SRT Hellcat,2017,5.25,808,399,2.08
399,Subaru,Supra,2016,4.37,1065,939,4.48
400,Mercedes-Benz,Supra,2016,6.55,588,369,3.35
401,Kia,M4,2018,6.54,1345,466,4.4
402,TVR,720S,2020,3.71,742,712,4.37
403,McLaren,F-Type SVR,2017,4.5,957,539,2.82
404,Porsche,GT-R Nismo,2016,7.11,1327,1195,2.75
405,Pininfarina,488 GTB,2020,6.47,1228,934,2.23
406,W Motors,GT R,2017,4.4,1415,410,3.11
407,W Motors,F-Type SVR,2022,6.04,1120,607,2.54
408,Acura,Challenger SRT Hellcat,2020,4.59,1234,1127,3.43
409,Subaru,Vantage,2020,7.87,829,1117,2.09
410,Aston Martin,F-Type SVR,2019,5.37,801,813,4.18
411,Maserati,488 GTB,2018,5.42,890,879,3.04
412,TVR,Mustang Shelby GT500,2023,6.93,313,426,3.28
413,Acura,Supra,2023,5.27,418,814,2.08
414,Ariel,F-Type SVR,2021,3.15,861,431,3.26
415,Pagani,R8 V10 Plus,2023,5.24,1462,875,2.68
416,Maserati,Huracan Evo,2021,4.65,893,626,3.88
417,Bugatti,NSX,2020,6.65,544,377,2.75
418,Alpine,GT-R Nismo,2016,5.79,1349,436,3.93
419,Lexus,488 GTB,2016,4.11,400,611,2.36
420,Alpine,Corvette Z06,2022,7.66,1086,334,3.67
421,Ford,M4,2019,5.21,1248,924,2.51
422,Mercedes-Benz,Mustang Shelby GT500,2020,5.98,448,920,2.17
423,Rolls-Royce,Mustang Shelby GT500,2021,3.25,1221,1039,2.28
424,Lamborghini,Mustang Shelby GT500,2019,3.61,1251,995,2.7
425,Lamborghini,GT-R Nismo,2021,4.48,1086,1132,2.86
426,Ariel,M4,2022,6.65,357,588,2.26
427,Tesla,Mustang Shelby GT500,2017,7.32,658,436,3.87
428,Chevrolet,R8 V10 Plus,2017,7.09,771,926,3.84
429,Rolls-Royce,Mustang Shelby GT500,2021,4.97,975,1078,4.07
430,Pininfarina,Mustang Shelby GT500,2023,3.6,566,600,3.18
431,Tesla,Corvette Z06,2019,3.02,1389,1162,3.63
432,Toyota,911 Turbo S,2018,4.07,843,1125,3.4
433,Ariel,NSX,2023,3.07,734,1179,3.24
434,Bentley,Supra,2018,3.62,1334,1119,3.28
435,Mercedes-AMG,Mustang Shelby GT500,2021,7.1,558,539,3.46
436,Kia,M4,2022,3.43,1313,661,4.2
437,Shelby,F-Type SVR,2020,7.09,1143,1161,2.36
438,Alpine,911 Turbo S,2019,6.42,1157,836,2.36
439,Bentley,Corvette Z06,2019,3.14,1132,805,2.02
440,BMW,Supra,2016,7.36,472,1182,3.89
441,Lotus,911 Turbo S,2019,5.29,392,443,4.09
442,Shelby,GT R,2017,4.38,436,850,3.63
443,Jaguar,GT-R Nismo,2019,7.96,1415,548,2.19
444,Rolls-Royce,NSX,2017,5.39,673,446,3.71
445,Mercedes-Benz,Mustang Shelby GT500,2018,3.09,1068,986,4.18
446,Nissan,Challenger SRT Hellcat,2017,5.41,803,1134,2.59
447,Ariel,F-Type SVR,2020,3.28,315,368,4.05
448,Audi,Mustang Shelby GT500,2020,6.68,674,303,3.61
449,Ultima,Huracan Evo,2018,4.9,470,566,3.93
450,Lotus,Corvette Z06,2016,3.18,1378,349,2.55
451,TVR,Huracan Evo,2017,3.99,478,1070,4.44
452,Ariel,488 GTB,2018,6.37,1279,405,2.78
453,Bentley,NSX,2022,7.31,1410,1068,4.13
454,Lexus,911 Turbo S,2023,6.22,454,418,2.82
455,Audi,M4,2018,3.03,1383,1063,3.54
456,Acura,911 Turbo S,2018,4.48,1031,328,2.15
